category_group,category
animals,birds
animals,cats
animals,dogs
animals,exotic pets
animals,fish
animals,pets
outdoors,agriculture
outdoors,camping
outdoors,climbing
outdoors,environment
outdoors,forestry
outdoors,hiking
outdoors,nature
outdoors,survival
desgin,advertising
desgin,architecture
desgin,computer aided design
desgin,computer graphics
desgin,interior design
desgin,graphic design
desgin,industrial design
desgin,photoshop
fine arts,art history
fine arts,arts
fine arts,drawing
fine arts,painting
fine arts,photography
fine arts,sculpture
performing arts,ballet
performing arts,dancing
performing arts,live theater
performing arts,musicals
business and careers,business
business and careers,career planning
business and careers,consumer info
business and careers,entrepreneurship
business and careers,home business
business and careers,management and hr
business and careers,marketing
education,continuing education
education,education
education,homeschooling
education,library resources
education,research
education,self improvement
education,univerity/college
finance,accounting
finance,banking
finance,capitalism
finance,daytrading
finance,economics
finance,financial planning
finance,insurance
finance,investing
finance,real estate
finance,taxation
crafts,antiques
crafts,collecting
crafts,crafts
crafts,crochet
crafts,dolls/puppets
crafts,knitting
crafts,memorabilia
crafts,quilting
crafts,scrapbooking
crafts,sewing
crafts,woodworking
fashion and beauty,beauty
fashion and beauty,clothing
fashion and beauty,ecommerce
fashion and beauty,fashion
fashion and beauty,jewelry
fashion and beauty,shopping
genetics and biology,anatomy
genetics and biology,biomechanics
genetics and biology,biotech
genetics and biology,cognitive science
genetics and biology,evolution
genetics and biology,genetics
genetics and biology,microbiology
genetics and biology,neuroscience
genetics and biology,pharmacology
genetics and biology,physiology
health,alternative health
health,antiaging
health,dentistry
health,doctors/surgeons
health,ergonomics
health,kinesiology
health,medical science
health,mental health
health,nursing
health,physical therapy
health,psychiatry
health,psychology
health,sexual health
health,weight loss
alternative culture,alternative news
alternative culture,conspiracies
alternative culture,counterculture
alternative culture,crime
alternative culture,drugs
alternative culture,forensics
alternative culture,lgbtq
alternative culture,paranormal
alternative culture,subculture
alternative culture,tattoos/piercing
history,ancient history
history,anthropology
history,archaeology
history,classical studies
history,history
history,medieval history
history,philosophy
world culture,africa
world culture,african americans
world culture,asia
world culture,australia
world culture,brazil
world culture,canada
world culture,caribbean
world culture,central america
world culture,china
world culture,culture/ethnicity
world culture,eastern studies
world culture,europe
world culture,france
world culture,geography
world culture,germany
world culture,india
world culture,iraq
world culture,ireland
world culture,israel
world culture,italy
world culture,japan
world culture,korea
world culture,linguistics
world culture,mexico
world culture,middle east
world culture,native americans
world culture,new york
world culture,oceania
world culture,russia
world culture,south america
world culture,spain
world culture,terrorism
world culture,uk
world culture,usa
food and beverages,cocktails
food and beverages,beer
food and beverages,beverages
food and beverages,cigars
food and beverages,coffee
food and beverages,food/cooking
food and beverages,homebrewing
food and beverages,nutrition
food and beverages,restaurants
food and beverages,tea
food and beverages,vegetarian
food and beverages,wine
home and garden,botany
home and garden,construction
home and garden,gardening
home and garden,home improvement
home and garden,homemaking
home and garden,interior design
home and garden,landscaping
home and garden,restoration
travel,hotels
travel,luxury
travel,nightlife
travel,spas
travel,travel
humor,bizarre/oddities
humor,humor
humor,dark humor
humor,satire
literature,biographies
literature,books
literature,british literature
literature,children's books
literature,fantasy books
literature,humanities
literature,journalism
literature,literature
literature,mystery novels
literature,poetry
literature,quotes
literature,romance novels
literature,shakespeare
literature,writing
classical and world,celtic music
classical and world,christian music
classical and world,classical music
classical and world,ethnic music
classical and world,gospel music
classical and world,latin music
classical and world,lounge music
classical and world,opera
classical and world,vocal music
dance music,ambient music
dance music,dj's/mixing
dance music,dance music
dance music,disco
dance music,drum'n'bass
dance music,electronica/idm
dance music,house music
dance music,industrial music
dance music,rave culture
dance music,techno
dance music,trance
dance music,triphop/downtempo
jazz and blues,blues music
jazz and blues,funk
jazz and blues,jazz
jazz and blues,oldies music
jazz and blues,reggae
jazz and blues,soul/r&b
popular music,country music
popular music,hip-hop/rap
popular music,karaoke
popular music,pop music
rock music,alternative rock
rock music,britpop
rock music,classic rock
rock music,folk music
rock music,heavy metal
rock music,indie rock/pop
rock music,punk rock
rock music,rock music
songwriting,guitar
songwriting,music composition
songwriting,music instruments
songwriting,music theory
songwriting,musician resources
songwriting,percussion
songwriting,radio broadcasts
songwriting,songwriting
news,activism
news,anarchism
news,communism
news,feminism
news,law
news,liberties/rights
news,military
news,news
news,socialism
news,sociology
humanitarianism,ethics
humanitarianism,humanitarianism
humanitarianism,international development
humanitarianism,nonprofit/charity
politics,conservative politics
politics,government
politics,liberal politics
politics,political science
politics,politics
family,babies
family,divorce
family,hosting
family,family
family,for kids
family,genealogy
family,kids
family,married life
family,parenting
family,pregnancy/birth
family,senior citizens
family,teen life
family,teen parenting
relationships,dating
relationships,matchmaking
relationships,men's issues
relationships,relationships
relationships,weddings
relationships,women's issues
religion,atheist/agnostic
religion,buddhism
religion,catholic
religion,christianity
religion,hinduism
religion,islam
religion,judaism
religion,mormon
religion,orthodox
religion,paganism
religion,protestant
religion,religion
religion,scientology
religion,sufism
religion,sunni
religion,wicca
spirituality,astrology/psychics
spirituality,mythology
spirituality,new age
spirituality,spirituality
earth sciences,ecology
earth sciences,geoscience
earth sciences,marine biology
earth sciences,meteorology
earth sciences,paleontology
earth sciences,zoology
energy,alternative energy
energy,energy industry
energy,mining/metallurgy
energy,nuclear science
energy,petroleum
engineering,chemical engineering
engineering,civil engineering
engineering,electrical engineering
engineering,machinery
engineering,manufacturing
engineering,mechanical engineering
mathematics,chaos/complexity
mathematics,logic
mathematics,mathematics
mathematics,statistics
science,biology
science,chemistry
science,physics
science,science
space,astronomy
space,space exploration
space,unidentified flying object
cars and transportation,aviation/aerospace
cars and transportation,car parts
cars and transportation,cars
cars and transportation,motor sports
cars and transportation,motorcycles
cars and transportation,trains/railroads
cars and transportation,transportation
cars and transportation,vintage cars
extreme sports,extreme sports
extreme sports,skateboarding
extreme sports,skiing
extreme sports,skydiving
extreme sports,snowboarding
extreme sports,surfing
extreme sports,water sports
extreme sports,windsurfing
games,billiards
games,board games
games,card games
games,chess
games,go
games,gambling
games,magic/illusions
games,online games
games,poker
games,puzzles
games,quizzes
games,roleplaying games
games,toys
games,video games
games,magic the gathering
sports,oating
sports,bowling
sports,canoeing
sports,kayaking
sports,fishing
sports,flyfishing
sports,golf
sports,guns
sports,hunting
sports,sailing
sports,scuba diving
sports,american football
sports,badminton
sports,baseball
sports,basketball
sports,bicycling
sports,bodybuilding
sports,boxing
sports,cheerleading
sports,cricket
sports,equestrian
sports,figure skating
sports,fitness
sports,gymnastics
sports,hockey
sports,martial arts
sports,racquetball
sports,rodeo
sports,rugby
sports,running
sports,soccer
sports,squash
sports,swimming
sports,tennis
sports,track/field
sports,volleyball
sports,wrestling
sports,yoga
animation,animation
animation,anime
animation,manga
animation,cartoons
animation,comic books
animation,multimedia
movies,acting
movies,action movies
movies,celebrities
movies,classic films
movies,comedy movies
movies,cult films
movies,drama movies
movies,film noir
movies,filmmaking
movies,foreign films
movies,horror movies
movies,independent film
movies,science fiction
movies,soundtracks
movies,romantic comedy
television,situation comedies
television,slice of life
television,horror shows
television,drama shows
television,soap operas
television,animeted series
television,kids shows
artificial intelligence,artificial intelligence
artificial intelligence,futurism
artificial intelligence,nanotech
artificial intelligence,robotics
artificial intelligence,semiconductors
artificial intelligence,supercomputing
artificial intelligence,virtual reality
development,computer science
development,databases
development,embedded systems
development,encryption
development,hacking
development,open source
development,programming
development,shareware
development,software
development,web development
development,windows development
robotics,robotics
gadgets,amateur radio
gadgets,audio equipment
gadgets,cell phones
gadgets,electronic devices
gadgets,electronic parts
gadgets,gadgets
gadgets,mobile computing
gadgets,peripheral devices
gadgets,photo gear
gadgets,recording gear
gadgets,technology
gadgets,telecommunications
gadgets,video equipment
information technology,computer hardware
information technology,computer security
information technology,computers
information technology,it
information technology,linux/unix
information technology,macos
information technology,network security
information technology,operating systems
information technology,proxy
information technology,windows
internet,facebook
internet,firefox
internet,forums
internet,instant messaging
internet,internet
internet,internet tools
internet,p2p
internet,personal sites
internet,search engine optimization
internet,search
internet,webhosting
internet,weblogs
